t,child_susceptible,child_exposed,child_infected,child_recovered,child_dead,adult_susceptible,adult_exposed,adult_infected,adult_recovered,adult_dead,elderly_susceptible,elderly_exposed,elderly_infected,elderly_recovered,elderly_dead
0,0.9996935268243153,2.2289089004819593e-05,0.00028418588772183284,0.0,0.0,0.9996762752532959,1.7922953702509403e-05,0.00030581040045944973,0.0,0.0,0.9996848185857137,1.61629228387028e-05,0.00029901405893421423,0.0,0.0
1,0.9996656656265259,5.0150450260844084e-05,0.00028418588772183284,0.0,0.0,0.9996090571085612,8.513403008691967e-05,0.00030581040045944973,0.0,0.0,0.9996201654275259,8.081461322338631e-05,0.00029901405893421423,0.0,0.0
2,0.9995932221412659,0.00012258998952650776,0.00028418588772183284,0.0,0.0,0.9994959175586701,0.0001982726767892018,0.00030581040045944973,0.0,0.0,0.9995258808135986,0.0001750983254169114,0.00029901405893421423,0.0,0.0
3,0.9994873503843943,0.00022846316375459234,0.00028418588772183284,0.0,0.0,0.999346931775411,0.0003472572318666304,0.00030581040045944973,0.0,0.0,0.9994181354840597,0.00028285113852083064,0.00029901405893421423,0.0,0.0
4,0.9993870596090952,0.00030647497818184395,0.00030647497769678014,0.0,0.0,0.9992337922255198,0.00044247292098589244,0.00032373335416195913,0.0,0.0,0.9992753644784291,0.0004094606978469528,0.0003151769803177255,0.0,0.0
5,0.9992978970209757,0.0003677699748853532,5.0150450260844084e-05,0.00028418588772183284,0.0,0.9991105775038401,0.0004984821590672557,8.513403008691967e-05,0.00030581040045944973,0.0,0.9992026269435883,0.0004175421544156658,8.081461322338631e-05,0.00029901405893421423,0.0
6,0.9992533187071483,0.00033990861217413716,0.00012258998952650776,0.00028418588772183284,0.0,0.9990635236104329,0.0004323912643788693,0.0001982726767892018,0.00030581040045944973,0.0,0.9991595268249511,0.0003663595678517595,0.0001750983254169114,0.00029901405893421423,0.0
7,0.9991975903511048,0.0002897581614282293,0.00022846316375459234,0.00028418588772183284,0.0,0.9989571074644724,0.00038982424448477106,0.0003472572318666304,0.00030581040045944973,0.0,0.9990760147571563,0.00034211518747421604,0.00028285113852083064,0.00029901405893421423,0.0
8,0.9991028626759847,0.000284185887236769,0.0003287640662165359,0.00028418588772183284,0.0,0.9988170822461446,0.0004167086779489182,0.00046039587177801875,0.00030581040045944973,0.0,0.9989709536234538,0.0003044017037609592,0.0004256236177752726,0.00029901405893421423,0.0
9,0.9989914218584697,0.00030647497769678014,0.00039563133517125,0.00030647497769678014,0.0,0.9986053665479024,0.0005052032589446753,0.0005656932272055808,0.00032373335416195913,0.0,0.9988254904747009,0.00037713485119941954,0.0004821938452854132,0.0003151769803177255,0.0
10,0.9988632639249165,0.0003900590624349813,0.00041234815386512007,0.0003343363423482515,0.0,0.9984059711297353,0.000657548369296516,0.0005455299086558322,0.00039094443345675243,0.0,0.9986423174540202,0.0005172135109508721,0.0004606432839257953,0.0003798286682770898,0.0
11,0.9987350980440776,0.00046249861091685794,0.00039563133614137767,0.0004067758806437875,0.0,0.9981886585553487,0.0007684466438756014,0.0005388088019875188,0.0005040830753083961,0.0,0.9984241247177124,0.0006519045263606434,0.00044986800154826295,0.0004741123824108702,0.0
12,0.998657081524531,0.0004457817941632432,0.00038448679309415943,0.0005126490568121274,0.0,0.9979959905147553,0.0008210953237721696,0.0005298473251362641,0.0006530676337812717,0.0,0.9982705652713776,0.0007003932924514326,0.00044717417913489046,0.0005818651950297256,0.0
13,0.9985679248968761,0.00042349270224804057,0.00039563133517125,0.0006129499597591348,0.0,0.9978122810522715,0.0007930907061866795,0.0006284235724403213,0.0007662062809686177,0.0,0.9981062491734822,0.0007192500381885717,0.0004498680010631991,0.0007246376762244229,0.0
14,0.9983673234780629,0.0004959322405435766,0.00043463724481019504,0.0007021063206290516,0.0,0.997518789768219,0.0008871862140949815,0.000704596123250667,0.0008894265881584337,0.0,0.9978745778401693,0.0007677388013689779,0.0005603146370655546,0.0007973708241479471,0.0
15,0.9981834391752878,0.0005516549659660086,0.0005182213334289069,0.0007466844986386907,0.0,0.9971961736679077,0.0009924835641868413,0.0008748641776037402,0.0009364743406573931,0.0,0.9975647826989492,0.0008593286989101519,0.0007354129600571468,0.0008404719488074382,0.0
16,0.9979382614294688,0.000718823141263177,0.0005405104263142372,0.0008024072177552928,0.0,0.9968242764472961,0.0011717130973314246,0.0009611183981178328,0.001042891877780979,0.0,0.997219979763031,0.0010505899345541062,0.0008054522870224901,0.0009239803766831756,0.0
