Iteration,Task Loss
1.0,5980891.947872556
2.0,6267495.9775937805
3.0,5445945.781046325
4.0,5092774.3009155365
5.0,4931813.566222427
6.0,4230885.835809617
7.0,4647533.415462541
8.0,4108208.048490535
9.0,4486443.008812542
10.0,4708271.779216866
11.0,4417919.070887672
12.0,4363144.63244064
13.0,4139423.729473469
14.0,3907817.2023927625
15.0,3903079.6825149185
16.0,3817187.882585528
17.0,3141078.10844661
18.0,3649205.540762017
19.0,3863033.1325449073
20.0,2696631.1937754466
21.0,3458227.9552292526
22.0,2824686.3090763777
23.0,3272885.105020671
24.0,2693091.085830362
25.0,2292649.0592443445
26.0,2252325.8369990075
27.0,2207171.297239129
28.0,2502035.9236425837
29.0,2578386.829041765
30.0,1795477.5375329978
31.0,2305674.2994832546
32.0,2088565.0133998282
33.0,1870392.7630671733
34.0,1763412.2299805677
35.0,1706432.3879130625
36.0,2051806.61117712
37.0,1793537.8364961878
38.0,1469559.8997110978
39.0,1606688.0037676333
40.0,1570344.559034601
41.0,1538002.348086491
42.0,1203206.2683263058
43.0,1356718.1214171916
44.0,1190883.8749831757
45.0,1659129.4675459787
46.0,1455051.5535125379
47.0,1545201.89446613
48.0,1271947.148752013
49.0,1167855.535331582
50.0,1064086.6370073145
51.0,1023908.1089994085
52.0,1032201.4734692252
53.0,1166894.1430878427
54.0,813732.4428756703
55.0,1036182.277399324
56.0,1120504.7077610726
57.0,753604.0097779451
58.0,1187524.5171843246
59.0,886745.2699436588
60.0,760016.0044583476
61.0,853987.2815749078
62.0,544779.3287727108
63.0,1152920.1210683817
64.0,744806.6365865513
65.0,803200.3281778872
66.0,710138.841116253
67.0,587787.5303568924
68.0,747175.9369651997
69.0,594440.7342431078
70.0,659714.373474573
71.0,571326.3781780816
72.0,589152.1331953076
73.0,655158.8587806647
74.0,446477.4451086051
75.0,525784.5227504824
76.0,601780.9364944847
77.0,585507.5025678308
78.0,558456.3056700712
79.0,588134.5811198275
80.0,499335.95549913094
81.0,504353.29971149063
82.0,411211.3204960648
83.0,536556.928821549
84.0,267137.10882022575
85.0,421036.3437018983
86.0,539158.8111514705
87.0,365561.70642311015
88.0,500243.2711432376
89.0,388451.0984434601
90.0,501445.3509664132
91.0,304102.55858684785
92.0,303111.9303550353
93.0,427884.0041443308
94.0,351529.5921134131
95.0,462087.8945808237
96.0,457945.82202508935
97.0,470783.3664554099
98.0,330895.68259414413
99.0,211367.66345239378
100.0,263739.5940428271
101.0,296995.0183811282
102.0,190373.89728166402
103.0,196798.73132557952
104.0,262285.82241238496
105.0,158314.3204495776
106.0,256157.42790203184
107.0,205802.2430310511
108.0,189656.32825829
109.0,256395.07420844954
110.0,302189.40706712735
111.0,314663.3236504544
112.0,235268.48208414862
113.0,249771.26510475465
114.0,165667.140540465
115.0,170738.766757492
116.0,237177.60698860418
117.0,166507.0946183761
118.0,195169.6797409235
119.0,198351.12607809546
120.0,324842.24176083104
121.0,244362.81780445838
