day,counterfactual_cases,actual_cases
0,15.549511790275574,24.0
1,11.66213384270668,12.0
2,18.37669575214386,19.0
3,18.730093747377396,10.0
4,22.61747169494629,15.0
5,36.04659551382065,14.0
6,38.873779475688934,13.0
7,23.32426768541336,7.0
8,26.151451647281647,8.0
9,27.918441623449326,16.0
10,31.452421575784683,11.0
11,39.93397346138954,27.0
12,37.81358548998833,23.0
13,44.17474940419197,15.0
14,33.5728095471859,15.0
15,34.98640152812004,18.0
16,30.74562558531761,36.0
17,42.054361432790756,20.0
18,44.17474940419197,42.0
19,44.88154539465904,39.0
20,47.35533136129379,15.0
21,36.75339150428772,10.0
22,38.16698348522186,15.0
23,38.5203814804554,28.0
24,38.873779475688934,23.0
25,45.94173938035965,19.0
26,50.18251532316208,16.0
27,44.52814739942551,22.0
28,63.965037137269974,31.0
29,61.84464916586876,32.0
30,58.66406720876694,31.0
31,38.16698348522186,23.0
32,53.009699285030365,6.0
33,73.50678300857544,28.0
34,73.50678300857544,11.0
35,50.88931131362915,18.0
36,38.16698348522186,17.0
37,50.18251532316208,41.0
38,50.535913318395615,36.0
39,52.30290329456329,23.0
40,57.250475227832794,37.0
41,51.242709308862686,20.0
42,36.75339150428772,21.0
43,32.866013556718826,50.0
44,36.04659551382065,27.0
45,45.23494338989258,66.0
46,34.27960553765297,33.0
47,35.33979952335358,0.0
48,26.151451647281647,0.0
49,39.93397346138954,93.0
50,44.88154539465904,24.0
51,37.106789499521255,46.0
52,36.75339150428772,49.0
53,36.04659551382065,60.0
54,41.347565442323685,29.0
55,34.633003532886505,30.0
56,33.926207542419434,42.0
57,44.88154539465904,46.0
58,48.768923342227936,39.0
59,47.00193336606026,41.0
60,28.978635609149933,33.0
61,33.926207542419434,8.0
62,28.978635609149933,21.0
63,32.51261556148529,15.0
64,35.33979952335358,45.0
65,33.5728095471859,61.0
66,25.79805365204811,58.0
67,22.264073699712753,49.0
68,25.09125766158104,35.0
69,32.51261556148529,45.0
70,42.40775942802429,19.0
71,42.054361432790756,46.0
72,32.159217566251755,77.0
73,32.866013556718826,69.0
74,36.75339150428772,112.0
75,37.106789499521255,60.0
76,42.76115742325783,39.0
77,37.106789499521255,36.0
78,40.64076945185661,46.0
79,40.28737145662308,43.0
80,50.535913318395615,44.0
81,41.347565442323685,28.0
82,49.82911732792854,39.0
83,51.59610730409622,29.0
84,22.61747169494629,29.0
85,28.27183961868286,23.0
86,33.5728095471859,42.0
87,31.452421575784683,37.0
88,31.452421575784683,26.0
89,29.685431599617004,40.0
90,26.504849642515182,17.0
91,31.452421575784683,45.0
92,25.444655656814575,36.0
93,29.685431599617004,29.0
94,30.392227590084076,61.0
95,27.918441623449326,62.0
96,32.159217566251755,0.0
97,32.159217566251755,58.0
98,18.37669575214386,7.0
99,20.14368572831154,33.0
100,19.08349174261093,28.0
101,20.497083723545074,53.0
102,22.264073699712753,15.0
103,20.497083723545074,20.0
104,16.60970577597618,15.0
105,6.71456190943718,5.0
106,5.3009699285030365,12.0
107,7.067959904670715,13.0
108,8.128153890371323,9.0
109,9.18834787607193,11.0
110,6.361163914203644,12.0
111,5.654367923736572,1.0
112,12.368929833173752,6.0
113,7.774755895137787,6.0
114,6.007765918970108,8.0
115,4.947571933269501,25.0
116,2.827183961868286,5.0
117,5.3009699285030365,0.0
118,2.827183961868286,9.0
119,6.71456190943718,3.0
120,9.541745871305466,11.0
121,5.654367923736572,7.0
122,3.180581957101822,1.0
123,3.180581957101822,5.0
124,6.007765918970108,3.0
125,5.654367923736572,7.0
126,7.421357899904251,4.0
127,4.947571933269501,5.0
128,4.947571933269501,5.0
129,3.8873779475688934,5.0
130,2.827183961868286,4.0
131,2.4737859666347504,0.0
132,6.007765918970108,0.0
133,1.413591980934143,2.0
134,1.413591980934143,3.0
135,2.1203879714012146,6.0
136,0.35339799523353577,6.0
137,0.7067959904670715,1.0
138,2.1203879714012146,1.0
139,2.4737859666347504,3.0
140,1.7669899761676788,43.0
141,1.0601939857006073,2.0
142,0.7067959904670715,3.0
143,0.0,2.0
144,0.35339799523353577,0.0
145,0.7067959904670715,2.0
146,0.7067959904670715,2.0
147,1.0601939857006073,5.0
148,0.7067959904670715,0.0
149,0.0,10.0
150,0.0,9.0
151,0.0,5.0
152,0.35339799523353577,1.0
153,0.0,2.0
154,0.0,3.0
155,0.0,3.0
156,0.35339799523353577,2.0
157,0.0,3.0
158,0.0,1.0
159,0.0,1.0
160,0.0,3.0
161,0.0,1.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,1.0
166,0.0,3.0
167,0.0,2.0
