day,counterfactual_cases,actual_cases
0,2.827183961868286,24.0
1,6.007765918970108,12.0
2,1.7669899761676788,19.0
3,6.007765918970108,10.0
4,3.180581957101822,15.0
5,5.3009699285030365,14.0
6,8.128153890371323,13.0
7,1.413591980934143,7.0
8,5.654367923736572,8.0
9,7.421357899904251,16.0
10,6.71456190943718,11.0
11,7.774755895137787,27.0
12,6.71456190943718,23.0
13,8.481551885604858,15.0
14,10.601939857006073,15.0
15,10.601939857006073,18.0
16,7.774755895137787,36.0
17,10.601939857006073,20.0
18,9.541745871305466,42.0
19,14.13591980934143,39.0
20,13.782521814107895,15.0
21,13.42912381887436,10.0
22,10.248541861772537,15.0
23,14.489317804574966,28.0
24,8.834949880838394,23.0
25,17.66989976167679,19.0
26,10.248541861772537,16.0
27,10.955337852239609,22.0
28,24.384461671113968,31.0
29,23.677665680646896,32.0
30,25.444655656814575,31.0
31,14.842715799808502,23.0
32,21.55727770924568,6.0
33,24.031063675880432,28.0
34,25.09125766158104,11.0
35,18.730093747377396,18.0
36,16.60970577597618,17.0
37,20.85048171877861,41.0
38,22.264073699712753,36.0
39,18.730093747377396,23.0
40,26.85824763774872,37.0
41,20.85048171877861,20.0
42,16.256307780742645,21.0
43,14.842715799808502,50.0
44,17.316501766443253,27.0
45,14.842715799808502,66.0
46,17.316501766443253,33.0
47,17.66989976167679,0.0
48,14.842715799808502,0.0
49,20.85048171877861,93.0
50,18.730093747377396,24.0
51,18.023297756910324,46.0
52,17.316501766443253,49.0
53,17.316501766443253,60.0
54,18.37669575214386,29.0
55,24.031063675880432,30.0
56,22.61747169494629,42.0
57,25.79805365204811,46.0
58,27.211645632982254,39.0
59,20.14368572831154,41.0
60,16.963103771209717,33.0
61,23.677665680646896,8.0
62,23.32426768541336,21.0
63,21.203879714012146,15.0
64,23.677665680646896,45.0
65,22.264073699712753,61.0
66,20.497083723545074,58.0
67,12.722327828407288,49.0
68,21.55727770924568,35.0
69,18.37669575214386,45.0
70,29.33203360438347,19.0
71,26.504849642515182,46.0
72,30.74562558531761,77.0
73,25.444655656814575,69.0
74,21.203879714012146,112.0
75,35.33979952335358,60.0
76,33.21941155195236,39.0
77,44.52814739942551,36.0
78,44.17474940419197,46.0
79,37.81358548998833,43.0
80,36.75339150428772,44.0
81,43.4679534137249,28.0
82,53.009699285030365,39.0
83,47.70872935652733,29.0
84,23.677665680646896,29.0
85,32.51261556148529,23.0
86,37.106789499521255,42.0
87,42.054361432790756,37.0
88,47.35533136129379,26.0
89,35.69319751858711,40.0
90,42.054361432790756,17.0
91,40.28737145662308,45.0
92,41.70096343755722,36.0
93,41.347565442323685,29.0
94,52.30290329456329,61.0
95,38.873779475688934,62.0
96,53.3630972802639,0.0
97,52.65630128979683,58.0
98,40.28737145662308,7.0
99,45.94173938035965,33.0
100,41.70096343755722,28.0
101,40.99416744709015,53.0
102,45.588341385126114,15.0
103,37.46018749475479,20.0
104,48.768923342227936,15.0
105,14.842715799808502,5.0
106,25.444655656814575,12.0
107,14.842715799808502,13.0
108,17.66989976167679,9.0
109,18.023297756910324,11.0
110,14.489317804574966,12.0
111,9.895143866539001,1.0
112,15.90290978550911,6.0
113,22.61747169494629,6.0
114,18.37669575214386,8.0
115,12.015531837940216,25.0
116,12.368929833173752,5.0
117,17.316501766443253,0.0
118,9.895143866539001,9.0
119,13.075725823640823,3.0
120,9.895143866539001,11.0
121,16.963103771209717,7.0
122,16.256307780742645,1.0
123,16.256307780742645,5.0
124,18.023297756910324,3.0
125,18.730093747377396,7.0
126,12.015531837940216,4.0
127,17.66989976167679,5.0
128,13.782521814107895,5.0
129,15.90290978550911,5.0
130,30.392227590084076,4.0
131,18.730093747377396,0.0
132,21.910675704479218,0.0
133,5.654367923736572,2.0
134,8.481551885604858,3.0
135,9.541745871305466,6.0
136,9.895143866539001,6.0
137,9.18834787607193,1.0
138,8.481551885604858,1.0
139,5.654367923736572,3.0
140,10.248541861772537,43.0
141,6.361163914203644,2.0
142,5.654367923736572,3.0
143,9.541745871305466,2.0
144,4.594173938035965,0.0
145,3.8873779475688934,2.0
146,5.3009699285030365,2.0
147,4.594173938035965,5.0
148,4.594173938035965,0.0
149,5.3009699285030365,10.0
150,0.7067959904670715,9.0
151,2.827183961868286,5.0
152,2.4737859666347504,1.0
153,2.1203879714012146,2.0
154,2.827183961868286,3.0
155,0.7067959904670715,3.0
156,0.7067959904670715,2.0
157,1.0601939857006073,3.0
158,0.35339799523353577,1.0
159,0.35339799523353577,1.0
160,1.0601939857006073,3.0
161,0.7067959904670715,1.0
162,0.35339799523353577,0.0
163,0.7067959904670715,0.0
164,0.7067959904670715,0.0
165,0.0,1.0
166,0.7067959904670715,3.0
167,0.35339799523353577,2.0
