day,counterfactual_cases,actual_cases
0,0.7067959904670715,24.0
1,0.7067959904670715,12.0
2,1.0601939857006073,19.0
3,1.7669899761676788,10.0
4,1.0601939857006073,15.0
5,2.4737859666347504,14.0
6,3.5339799523353577,13.0
7,0.35339799523353577,7.0
8,1.0601939857006073,8.0
9,1.0601939857006073,16.0
10,4.594173938035965,11.0
11,1.7669899761676788,27.0
12,1.413591980934143,23.0
13,1.0601939857006073,15.0
14,1.7669899761676788,15.0
15,1.7669899761676788,18.0
16,1.0601939857006073,36.0
17,2.4737859666347504,20.0
18,1.7669899761676788,42.0
19,0.7067959904670715,39.0
20,1.413591980934143,15.0
21,1.413591980934143,10.0
22,1.7669899761676788,15.0
23,0.0,28.0
24,1.7669899761676788,23.0
25,1.413591980934143,19.0
26,1.7669899761676788,16.0
27,0.7067959904670715,22.0
28,0.7067959904670715,31.0
29,2.827183961868286,32.0
30,0.0,31.0
31,2.1203879714012146,23.0
32,1.7669899761676788,6.0
33,1.413591980934143,28.0
34,1.413591980934143,11.0
35,0.35339799523353577,18.0
36,0.35339799523353577,17.0
37,1.413591980934143,41.0
38,1.413591980934143,36.0
39,2.1203879714012146,23.0
40,1.0601939857006073,37.0
41,1.0601939857006073,20.0
42,1.0601939857006073,21.0
43,1.0601939857006073,50.0
44,0.7067959904670715,27.0
45,0.35339799523353577,66.0
46,1.0601939857006073,33.0
47,0.7067959904670715,0.0
48,0.0,0.0
49,0.35339799523353577,93.0
50,1.0601939857006073,24.0
51,0.0,46.0
52,0.35339799523353577,49.0
53,0.0,60.0
54,0.7067959904670715,29.0
55,0.0,30.0
56,0.35339799523353577,42.0
57,0.35339799523353577,46.0
58,0.0,39.0
59,1.0601939857006073,41.0
60,0.0,33.0
61,0.35339799523353577,8.0
62,0.0,21.0
63,0.0,15.0
64,0.35339799523353577,45.0
65,0.7067959904670715,61.0
66,0.7067959904670715,58.0
67,0.0,49.0
68,0.0,35.0
69,0.0,45.0
70,0.0,19.0
71,1.413591980934143,46.0
72,0.7067959904670715,77.0
73,1.413591980934143,69.0
74,0.35339799523353577,112.0
75,0.35339799523353577,60.0
76,0.0,39.0
77,0.7067959904670715,36.0
78,0.35339799523353577,46.0
79,0.7067959904670715,43.0
80,0.7067959904670715,44.0
81,0.35339799523353577,28.0
82,0.35339799523353577,39.0
83,0.0,29.0
84,0.0,29.0
85,0.35339799523353577,23.0
86,0.0,42.0
87,0.7067959904670715,37.0
88,1.0601939857006073,26.0
89,1.413591980934143,40.0
90,0.0,17.0
91,0.0,45.0
92,0.0,36.0
93,0.35339799523353577,29.0
94,0.7067959904670715,61.0
95,1.413591980934143,62.0
96,0.35339799523353577,0.0
97,1.0601939857006073,58.0
98,0.0,7.0
99,0.0,33.0
100,0.0,28.0
101,0.0,53.0
102,0.35339799523353577,15.0
103,1.0601939857006073,20.0
104,0.7067959904670715,15.0
105,0.0,5.0
106,0.0,12.0
107,0.0,13.0
108,0.0,9.0
109,0.0,11.0
110,0.0,12.0
111,0.0,1.0
112,0.0,6.0
113,0.35339799523353577,6.0
114,0.0,8.0
115,0.0,25.0
116,0.0,5.0
117,0.0,0.0
118,1.413591980934143,9.0
119,0.35339799523353577,3.0
120,0.0,11.0
121,0.0,7.0
122,0.35339799523353577,1.0
123,1.0601939857006073,5.0
124,0.0,3.0
125,0.0,7.0
126,0.7067959904670715,4.0
127,0.7067959904670715,5.0
128,0.35339799523353577,5.0
129,0.7067959904670715,5.0
130,0.7067959904670715,4.0
131,0.35339799523353577,0.0
132,0.0,0.0
133,0.0,2.0
134,1.7669899761676788,3.0
135,0.35339799523353577,6.0
136,0.35339799523353577,6.0
137,0.35339799523353577,1.0
138,0.7067959904670715,1.0
139,1.0601939857006073,3.0
140,1.413591980934143,43.0
141,0.0,2.0
142,0.0,3.0
143,0.35339799523353577,2.0
144,1.7669899761676788,0.0
145,0.35339799523353577,2.0
146,0.7067959904670715,2.0
147,0.0,5.0
148,0.0,0.0
149,0.0,10.0
150,0.0,9.0
151,1.413591980934143,5.0
152,1.413591980934143,1.0
153,0.0,2.0
154,0.0,3.0
155,0.0,3.0
156,0.0,2.0
157,0.35339799523353577,3.0
158,0.0,1.0
159,0.0,1.0
160,0.0,3.0
161,0.0,1.0
162,0.35339799523353577,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,1.0
166,0.0,3.0
167,0.0,2.0
