day,counterfactual_cases,actual_cases
0,10.601939857006073,24.0
1,10.248541861772537,12.0
2,16.963103771209717,19.0
3,18.730093747377396,10.0
4,25.79805365204811,15.0
5,27.56504362821579,14.0
6,27.918441623449326,13.0
7,14.489317804574966,7.0
8,20.85048171877861,8.0
9,25.444655656814575,16.0
10,28.27183961868286,11.0
11,33.926207542419434,27.0
12,36.04659551382065,23.0
13,35.33979952335358,15.0
14,26.151451647281647,15.0
15,33.5728095471859,18.0
16,27.56504362821579,36.0
17,34.98640152812004,20.0
18,34.27960553765297,42.0
19,39.22717747092247,39.0
20,42.76115742325783,15.0
21,26.85824763774872,10.0
22,32.159217566251755,15.0
23,37.81358548998833,28.0
24,39.580575466156006,23.0
25,28.27183961868286,19.0
26,36.04659551382065,16.0
27,32.866013556718826,22.0
28,61.84464916586876,31.0
29,59.37086319923401,32.0
30,48.768923342227936,31.0
31,36.04659551382065,23.0
32,47.00193336606026,6.0
33,51.59610730409622,28.0
34,74.21357899904251,11.0
35,45.588341385126114,18.0
36,33.21941155195236,17.0
37,36.04659551382065,41.0
38,42.40775942802429,36.0
39,42.76115742325783,23.0
40,51.59610730409622,37.0
41,45.23494338989258,20.0
42,33.21941155195236,21.0
43,28.27183961868286,50.0
44,26.504849642515182,27.0
45,25.79805365204811,66.0
46,28.27183961868286,33.0
47,31.099023580551147,0.0
48,25.09125766158104,0.0
49,43.821351408958435,93.0
50,36.04659551382065,24.0
51,25.79805365204811,46.0
52,24.737859666347504,49.0
53,24.031063675880432,60.0
54,38.5203814804554,29.0
55,37.106789499521255,30.0
56,44.88154539465904,42.0
57,31.099023580551147,46.0
58,34.27960553765297,39.0
59,27.211645632982254,41.0
60,31.80581957101822,33.0
61,38.5203814804554,8.0
62,45.588341385126114,21.0
63,32.159217566251755,15.0
64,32.159217566251755,45.0
65,34.98640152812004,61.0
66,22.61747169494629,58.0
67,18.023297756910324,49.0
68,25.79805365204811,35.0
69,35.69319751858711,45.0
70,38.5203814804554,19.0
71,36.04659551382065,46.0
72,32.866013556718826,77.0
73,32.51261556148529,69.0
74,33.926207542419434,112.0
75,39.22717747092247,60.0
76,34.98640152812004,39.0
77,34.98640152812004,36.0
78,37.46018749475479,46.0
79,38.16698348522186,43.0
80,42.76115742325783,44.0
81,27.56504362821579,28.0
82,41.347565442323685,39.0
83,43.821351408958435,29.0
84,26.504849642515182,29.0
85,26.85824763774872,23.0
86,26.504849642515182,42.0
87,27.918441623449326,37.0
88,24.031063675880432,26.0
89,29.33203360438347,40.0
90,28.625237613916397,17.0
91,25.444655656814575,45.0
92,27.211645632982254,36.0
93,24.031063675880432,29.0
94,32.51261556148529,61.0
95,32.51261556148529,62.0
96,24.031063675880432,0.0
97,28.27183961868286,58.0
98,19.436889737844467,7.0
99,24.737859666347504,33.0
100,24.384461671113968,28.0
101,24.737859666347504,53.0
102,25.444655656814575,15.0
103,16.963103771209717,20.0
104,21.55727770924568,15.0
105,7.421357899904251,5.0
106,8.834949880838394,12.0
107,7.421357899904251,13.0
108,10.248541861772537,9.0
109,6.71456190943718,11.0
110,4.947571933269501,12.0
111,5.654367923736572,1.0
112,10.248541861772537,6.0
113,5.3009699285030365,6.0
114,6.361163914203644,8.0
115,4.947571933269501,25.0
116,8.481551885604858,5.0
117,4.947571933269501,0.0
118,4.240775942802429,9.0
119,4.947571933269501,3.0
120,7.067959904670715,11.0
121,8.128153890371323,7.0
122,8.128153890371323,1.0
123,2.827183961868286,5.0
124,6.71456190943718,3.0
125,6.361163914203644,7.0
126,10.248541861772537,4.0
127,10.248541861772537,5.0
128,3.180581957101822,5.0
129,7.774755895137787,5.0
130,5.3009699285030365,4.0
131,7.067959904670715,0.0
132,8.481551885604858,0.0
133,3.5339799523353577,2.0
134,4.594173938035965,3.0
135,0.0,6.0
136,3.180581957101822,6.0
137,3.8873779475688934,1.0
138,1.7669899761676788,1.0
139,2.1203879714012146,3.0
140,3.180581957101822,43.0
141,1.413591980934143,2.0
142,1.413591980934143,3.0
143,3.5339799523353577,2.0
144,2.1203879714012146,0.0
145,1.413591980934143,2.0
146,0.7067959904670715,2.0
147,1.0601939857006073,5.0
148,0.7067959904670715,0.0
149,1.7669899761676788,10.0
150,1.0601939857006073,9.0
151,1.413591980934143,5.0
152,0.35339799523353577,1.0
153,0.35339799523353577,2.0
154,0.35339799523353577,3.0
155,0.35339799523353577,3.0
156,0.35339799523353577,2.0
157,0.7067959904670715,3.0
158,0.0,1.0
159,0.35339799523353577,1.0
160,0.7067959904670715,3.0
161,0.0,1.0
162,0.0,0.0
163,0.35339799523353577,0.0
164,0.0,0.0
165,0.7067959904670715,1.0
166,0.0,3.0
167,0.35339799523353577,2.0
