day,counterfactual_cases,actual_cases
0,2.1203879714012146,24.0
1,3.5339799523353577,12.0
2,3.8873779475688934,19.0
3,2.4737859666347504,10.0
4,4.594173938035965,15.0
5,7.421357899904251,14.0
6,5.3009699285030365,13.0
7,5.654367923736572,7.0
8,6.361163914203644,8.0
9,6.007765918970108,16.0
10,6.361163914203644,11.0
11,7.067959904670715,27.0
12,4.240775942802429,23.0
13,7.774755895137787,15.0
14,6.007765918970108,15.0
15,6.71456190943718,18.0
16,6.71456190943718,36.0
17,4.240775942802429,20.0
18,4.240775942802429,42.0
19,3.5339799523353577,39.0
20,6.007765918970108,15.0
21,3.5339799523353577,10.0
22,4.947571933269501,15.0
23,2.1203879714012146,28.0
24,3.180581957101822,23.0
25,5.654367923736572,19.0
26,3.5339799523353577,16.0
27,2.827183961868286,22.0
28,4.240775942802429,31.0
29,6.007765918970108,32.0
30,4.240775942802429,31.0
31,3.180581957101822,23.0
32,2.1203879714012146,6.0
33,3.180581957101822,28.0
34,4.240775942802429,11.0
35,4.947571933269501,18.0
36,2.827183961868286,17.0
37,4.594173938035965,41.0
38,1.413591980934143,36.0
39,1.413591980934143,23.0
40,2.4737859666347504,37.0
41,3.180581957101822,20.0
42,2.4737859666347504,21.0
43,0.35339799523353577,50.0
44,1.413591980934143,27.0
45,2.1203879714012146,66.0
46,2.4737859666347504,33.0
47,0.0,0.0
48,0.7067959904670715,0.0
49,1.0601939857006073,93.0
50,1.0601939857006073,24.0
51,1.413591980934143,46.0
52,0.35339799523353577,49.0
53,1.0601939857006073,60.0
54,2.4737859666347504,29.0
55,1.0601939857006073,30.0
56,0.7067959904670715,42.0
57,0.35339799523353577,46.0
58,0.7067959904670715,39.0
59,0.7067959904670715,41.0
60,0.7067959904670715,33.0
61,0.35339799523353577,8.0
62,0.35339799523353577,21.0
63,0.35339799523353577,15.0
64,0.35339799523353577,45.0
65,0.0,61.0
66,1.413591980934143,58.0
67,0.35339799523353577,49.0
68,0.35339799523353577,35.0
69,0.35339799523353577,45.0
70,0.35339799523353577,19.0
71,0.0,46.0
72,0.7067959904670715,77.0
73,0.7067959904670715,69.0
74,0.35339799523353577,112.0
75,0.0,60.0
76,0.35339799523353577,39.0
77,0.7067959904670715,36.0
78,0.35339799523353577,46.0
79,0.7067959904670715,43.0
80,0.0,44.0
81,0.0,28.0
82,0.35339799523353577,39.0
83,0.0,29.0
84,0.35339799523353577,29.0
85,0.35339799523353577,23.0
86,0.35339799523353577,42.0
87,0.0,37.0
88,0.0,26.0
89,0.0,40.0
90,0.0,17.0
91,0.35339799523353577,45.0
92,0.35339799523353577,36.0
93,0.0,29.0
94,0.7067959904670715,61.0
95,0.0,62.0
96,0.0,0.0
97,0.0,58.0
98,0.0,7.0
99,0.7067959904670715,33.0
100,0.0,28.0
101,0.0,53.0
102,0.0,15.0
103,0.0,20.0
104,0.0,15.0
105,0.35339799523353577,5.0
106,0.0,12.0
107,0.0,13.0
108,0.0,9.0
109,0.0,11.0
110,0.0,12.0
111,0.35339799523353577,1.0
112,0.0,6.0
113,0.0,6.0
114,0.0,8.0
115,0.0,25.0
116,0.0,5.0
117,0.0,0.0
118,0.35339799523353577,9.0
119,0.0,3.0
120,0.0,11.0
121,0.0,7.0
122,0.0,1.0
123,0.0,5.0
124,0.0,3.0
125,0.0,7.0
126,0.0,4.0
127,0.35339799523353577,5.0
128,0.0,5.0
129,0.0,5.0
130,0.0,4.0
131,0.0,0.0
132,0.0,0.0
133,0.0,2.0
134,0.0,3.0
135,0.0,6.0
136,0.0,6.0
137,0.0,1.0
138,0.0,1.0
139,0.0,3.0
140,0.0,43.0
141,0.0,2.0
142,0.0,3.0
143,0.0,2.0
144,0.0,0.0
145,0.0,2.0
146,0.0,2.0
147,0.0,5.0
148,0.0,0.0
149,0.0,10.0
150,0.0,9.0
151,0.0,5.0
152,0.0,1.0
153,0.0,2.0
154,0.0,3.0
155,0.0,3.0
156,0.0,2.0
157,0.0,3.0
158,0.0,1.0
159,0.0,1.0
160,0.0,3.0
161,0.0,1.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,1.0
166,0.0,3.0
167,0.0,2.0
