day,counterfactual_cases,actual_cases
0,2.827183961868286,24.0
1,5.3009699285030365,12.0
2,2.4737859666347504,19.0
3,1.7669899761676788,10.0
4,2.4737859666347504,15.0
5,2.827183961868286,14.0
6,4.594173938035965,13.0
7,2.827183961868286,7.0
8,2.827183961868286,8.0
9,1.7669899761676788,16.0
10,3.5339799523353577,11.0
11,2.4737859666347504,27.0
12,2.827183961868286,23.0
13,3.5339799523353577,15.0
14,3.180581957101822,15.0
15,2.4737859666347504,18.0
16,2.1203879714012146,36.0
17,1.413591980934143,20.0
18,1.413591980934143,42.0
19,3.5339799523353577,39.0
20,2.827183961868286,15.0
21,3.180581957101822,10.0
22,2.827183961868286,15.0
23,2.4737859666347504,28.0
24,2.1203879714012146,23.0
25,1.7669899761676788,19.0
26,1.0601939857006073,16.0
27,3.180581957101822,22.0
28,2.827183961868286,31.0
29,3.180581957101822,32.0
30,3.180581957101822,31.0
31,2.827183961868286,23.0
32,1.413591980934143,6.0
33,3.5339799523353577,28.0
34,3.180581957101822,11.0
35,2.4737859666347504,18.0
36,2.1203879714012146,17.0
37,1.413591980934143,41.0
38,0.7067959904670715,36.0
39,1.7669899761676788,23.0
40,1.413591980934143,37.0
41,1.413591980934143,20.0
42,0.7067959904670715,21.0
43,0.7067959904670715,50.0
44,1.0601939857006073,27.0
45,1.0601939857006073,66.0
46,0.7067959904670715,33.0
47,0.7067959904670715,0.0
48,0.35339799523353577,0.0
49,0.35339799523353577,93.0
50,0.0,24.0
51,0.7067959904670715,46.0
52,1.413591980934143,49.0
53,0.0,60.0
54,0.0,29.0
55,0.35339799523353577,30.0
56,0.0,42.0
57,0.7067959904670715,46.0
58,0.7067959904670715,39.0
59,0.35339799523353577,41.0
60,0.0,33.0
61,0.35339799523353577,8.0
62,0.0,21.0
63,0.35339799523353577,15.0
64,0.0,45.0
65,0.35339799523353577,61.0
66,0.0,58.0
67,0.0,49.0
68,0.0,35.0
69,0.0,45.0
70,0.0,19.0
71,0.0,46.0
72,0.35339799523353577,77.0
73,0.0,69.0
74,0.35339799523353577,112.0
75,0.0,60.0
76,0.0,39.0
77,0.35339799523353577,36.0
78,0.0,46.0
79,0.0,43.0
80,0.0,44.0
81,0.0,28.0
82,0.0,39.0
83,0.35339799523353577,29.0
84,0.0,29.0
85,0.0,23.0
86,0.0,42.0
87,0.0,37.0
88,0.35339799523353577,26.0
89,0.0,40.0
90,1.0601939857006073,17.0
91,0.0,45.0
92,0.0,36.0
93,0.0,29.0
94,0.0,61.0
95,0.7067959904670715,62.0
96,0.0,0.0
97,0.0,58.0
98,0.7067959904670715,7.0
99,0.0,33.0
100,0.35339799523353577,28.0
101,0.0,53.0
102,0.0,15.0
103,0.35339799523353577,20.0
104,0.35339799523353577,15.0
105,0.0,5.0
106,0.0,12.0
107,0.35339799523353577,13.0
108,0.0,9.0
109,0.0,11.0
110,0.35339799523353577,12.0
111,0.0,1.0
112,0.35339799523353577,6.0
113,0.0,6.0
114,0.35339799523353577,8.0
115,0.0,25.0
116,0.0,5.0
117,0.0,0.0
118,0.7067959904670715,9.0
119,0.35339799523353577,3.0
120,2.4737859666347504,11.0
121,0.0,7.0
122,0.0,1.0
123,0.0,5.0
124,0.7067959904670715,3.0
125,0.0,7.0
126,1.0601939857006073,4.0
127,0.35339799523353577,5.0
128,0.0,5.0
129,0.0,5.0
130,0.0,4.0
131,1.413591980934143,0.0
132,0.7067959904670715,0.0
133,0.0,2.0
134,0.0,3.0
135,0.35339799523353577,6.0
136,0.0,6.0
137,0.0,1.0
138,0.0,1.0
139,0.0,3.0
140,0.35339799523353577,43.0
141,0.0,2.0
142,1.0601939857006073,3.0
143,0.0,2.0
144,0.0,0.0
145,0.0,2.0
146,0.35339799523353577,2.0
147,0.0,5.0
148,0.7067959904670715,0.0
149,0.35339799523353577,10.0
150,0.0,9.0
151,0.0,5.0
152,0.0,1.0
153,0.0,2.0
154,0.35339799523353577,3.0
155,0.0,3.0
156,0.0,2.0
157,0.0,3.0
158,0.0,1.0
159,0.0,1.0
160,0.0,3.0
161,0.0,1.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,1.0
166,0.0,3.0
167,0.0,2.0
