day,counterfactual_cases,actual_cases
0,10.601939857006073,24.0
1,19.08349174261093,12.0
2,16.256307780742645,19.0
3,16.60970577597618,10.0
4,23.677665680646896,15.0
5,30.03882959485054,14.0
6,38.873779475688934,13.0
7,15.549511790275574,7.0
8,22.970869690179825,8.0
9,28.978635609149933,16.0
10,30.74562558531761,11.0
11,39.580575466156006,27.0
12,36.75339150428772,23.0
13,30.392227590084076,15.0
14,33.5728095471859,15.0
15,31.80581957101822,18.0
16,31.099023580551147,36.0
17,39.93397346138954,20.0
18,39.93397346138954,42.0
19,32.51261556148529,39.0
20,39.93397346138954,15.0
21,36.399993509054184,10.0
22,35.69319751858711,15.0
23,31.099023580551147,28.0
24,38.873779475688934,23.0
25,39.22717747092247,19.0
26,39.22717747092247,16.0
27,33.5728095471859,22.0
28,58.66406720876694,31.0
29,57.60387322306633,32.0
30,54.776689261198044,31.0
31,36.399993509054184,23.0
32,53.71649527549744,6.0
33,75.98056897521019,28.0
34,81.63493689894676,11.0
35,34.98640152812004,18.0
36,39.22717747092247,17.0
37,38.16698348522186,41.0
38,47.00193336606026,36.0
39,49.47571933269501,23.0
40,52.30290329456329,37.0
41,43.11455541849136,20.0
42,31.80581957101822,21.0
43,22.970869690179825,50.0
44,23.32426768541336,27.0
45,31.452421575784683,66.0
46,24.737859666347504,33.0
47,32.51261556148529,0.0
48,24.384461671113968,0.0
49,30.74562558531761,93.0
50,31.452421575784683,24.0
51,29.33203360438347,46.0
52,32.159217566251755,49.0
53,25.79805365204811,60.0
54,38.16698348522186,29.0
55,30.392227590084076,30.0
56,32.866013556718826,42.0
57,30.74562558531761,46.0
58,28.978635609149933,39.0
59,32.159217566251755,41.0
60,20.85048171877861,33.0
61,33.926207542419434,8.0
62,32.159217566251755,21.0
63,28.978635609149933,15.0
64,22.264073699712753,45.0
65,25.444655656814575,61.0
66,24.384461671113968,58.0
67,12.722327828407288,49.0
68,34.98640152812004,35.0
69,28.625237613916397,45.0
70,40.64076945185661,19.0
71,29.685431599617004,46.0
72,26.85824763774872,77.0
73,31.452421575784683,69.0
74,34.633003532886505,112.0
75,31.80581957101822,60.0
76,39.22717747092247,39.0
77,35.33979952335358,36.0
78,37.46018749475479,46.0
79,33.926207542419434,43.0
80,44.17474940419197,44.0
81,42.76115742325783,28.0
82,48.062127351760864,39.0
83,43.821351408958435,29.0
84,23.677665680646896,29.0
85,29.685431599617004,23.0
86,30.74562558531761,42.0
87,33.21941155195236,37.0
88,25.444655656814575,26.0
89,39.580575466156006,40.0
90,27.918441623449326,17.0
91,30.74562558531761,45.0
92,33.5728095471859,36.0
93,30.03882959485054,29.0
94,40.64076945185661,61.0
95,36.399993509054184,62.0
96,39.580575466156006,0.0
97,31.099023580551147,58.0
98,31.452421575784683,7.0
99,30.392227590084076,33.0
100,30.03882959485054,28.0
101,32.159217566251755,53.0
102,33.926207542419434,15.0
103,30.392227590084076,20.0
104,44.17474940419197,15.0
105,14.13591980934143,5.0
106,9.895143866539001,12.0
107,15.196113795042038,13.0
108,10.601939857006073,9.0
109,12.368929833173752,11.0
110,13.42912381887436,12.0
111,12.722327828407288,1.0
112,12.368929833173752,6.0
113,15.549511790275574,6.0
114,11.66213384270668,8.0
115,12.722327828407288,25.0
116,16.60970577597618,5.0
117,15.90290978550911,0.0
118,12.722327828407288,9.0
119,13.42912381887436,3.0
120,16.60970577597618,11.0
121,11.308735847473145,7.0
122,23.677665680646896,1.0
123,14.842715799808502,5.0
124,17.316501766443253,3.0
125,9.895143866539001,7.0
126,22.61747169494629,4.0
127,20.497083723545074,5.0
128,23.677665680646896,5.0
129,22.61747169494629,5.0
130,22.970869690179825,4.0
131,20.85048171877861,0.0
132,20.85048171877861,0.0
133,13.782521814107895,2.0
134,10.601939857006073,3.0
135,16.256307780742645,6.0
136,11.66213384270668,6.0
137,10.248541861772537,1.0
138,7.067959904670715,1.0
139,6.71456190943718,3.0
140,9.18834787607193,43.0
141,8.481551885604858,2.0
142,6.71456190943718,3.0
143,9.541745871305466,2.0
144,10.955337852239609,0.0
145,9.895143866539001,2.0
146,7.067959904670715,2.0
147,9.895143866539001,5.0
148,9.541745871305466,0.0
149,5.654367923736572,10.0
150,10.248541861772537,9.0
151,8.128153890371323,5.0
152,8.128153890371323,1.0
153,5.654367923736572,2.0
154,3.8873779475688934,3.0
155,1.7669899761676788,3.0
156,2.4737859666347504,2.0
157,3.180581957101822,3.0
158,2.1203879714012146,1.0
159,2.827183961868286,1.0
160,4.947571933269501,3.0
161,0.35339799523353577,1.0
162,0.7067959904670715,0.0
163,2.1203879714012146,0.0
164,2.1203879714012146,0.0
165,1.413591980934143,1.0
166,1.0601939857006073,3.0
167,0.7067959904670715,2.0
